Tda	Prov	Prod	Existencia	Stk
5	57	80	58	-23
5	57	66	16	-22
5	57	82	66	-21
5	57	73	26	-20
5	57	79	224	-20
5	140	17	39	-20
5	528	6	51	-20
5	57	81	17	-19
5	140	16	46	-16
5	528	8	12	-14
5	57	68	13	-14
5	117	35	5	-13
5	191	38	4	-12
5	117	80	7	-12
5	296	3	-6	-9
5	117	68	9	-8
5	497	24	7	-8
5	57	72	3	-7
5	117	64	7	-7
5	537	12	10	-7
5	296	4	7	-7
5	525	4	-1	-7
5	525	2	11	-6
5	537	15	10	-5
5	117	51	7	-4
5	117	65	4	-4
5	289	45	10	-4
5	117	83	4	-4
5	642	101	11	-4
5	117	67	27	-3
5	117	79	5	-3
5	89	32	-3	-3
5	537	14	3	-3
5	650	3	6	-3
5	296	1	3	-2
5	117	86	2	-2
5	536	1	4	-2
18	89	463	-2	-2
5	140	13	2	-2
5	140	15	2	-2
5	646	104	2	-2
5	330	6	3	-2
5	117	74	2	-1
5	191	42	6	-1
5	568	7	5	-1
5	89	144	-1	-1
5	750	5	16	-1
5	289	47	20	-1
8	89	513	-1	-1
5	89	547	-1	-1
5	650	2	19	-1
5	267	64	3	0
5	515	14	2	0
5	515	8	1	0
5	156	24	5	0
5	515	7	1	0
5	156	101	4	0
5	191	37	2	0
44	132	142	1	0
5	497	23	3	0
5	259	2	2	0
5	445	142	1	0
5	261	108	1	0
5	330	3	1	0
5	296	5	6	0
5	382	8	4	0
5	390	101	1	0
44	323	2	1	0
5	433	120	1	0
5	117	98	4	0
5	445	124	1	0
5	445	110	-1	0
5	267	44	1	0
5	445	114	1	0
5	156	23	1	0
5	327	119	1	0
5	327	122	1	0
5	330	2	3	0
5	374	121	1	0
37	117	78	1	0
45	497	10	2	0
5	54	108	2	0
23	537	13	1	0
18	296	4	1	0
45	156	107	1	0
45	289	46	1	0
45	323	3	1	0
45	330	6	1	0
4	445	216	1	0
45	445	133	1	0
18	497	23	1	0
45	445	216	1	0
5	139	177	1	0
4	386	1	2	0
5	57	46	1	0
23	326	2	1	0
4	338	9	1	0
4	327	115	1	0
4	296	4	-1	0
4	296	3	1	0
4	296	1	1	0
23	154	9	1	0
4	245	11	1	0
4	245	6	1	0
20	117	60	1	0
20	117	78	1	0
18	510	8	1	0
5	117	55	1	0
42	117	88	1	0
5	140	14	3	0
5	140	10	3	0
5	140	8	1	0
5	140	7	1	0
5	140	2	1	0
5	139	191	11	0
5	139	185	2	0
5	139	125	1	0
5	117	85	3	0
5	117	84	1	0
5	54	109	1	0
5	117	70	8	0
5	54	126	9	0
5	117	54	2	0
5	117	49	2	0
5	117	45	4	0
5	117	43	1	0
5	117	28	2	0
18	117	60	1	0
5	113	187	1	0
5	113	121	1	0
5	62	5	1	0
5	57	70	3	0
5	57	62	2	0
5	156	19	1	0
5	117	71	10	0
9	117	69	-1	0
42	478	6	1	0
9	140	16	1	0
42	154	9	1	0
9	139	191	1	0
9	132	152	1	0
9	132	146	2	0
9	132	142	1	0
42	267	64	1	0
9	132	137	2	0
9	132	133	1	0
39	445	135	1	0
42	296	3	1	0
42	140	15	1	0
12	57	72	1	0
42	139	191	1	0
9	117	66	1	0
12	117	35	2	0
9	117	47	-1	0
12	117	60	1	0
12	117	65	1	0
9	57	81	2	0
12	117	68	1	0
42	433	104	2	0
42	445	136	3	0
12	117	83	1	0
42	445	197	1	0
12	117	88	1	0
5	530	2	10	0
9	117	85	1	0
42	54	118	2	0
40	323	2	1	0
40	384	3	1	0
40	433	105	1	0
9	565	140	1	0
40	445	165	-1	0
40	445	228	1	0
40	497	23	1	0
40	514	15	1	0
9	514	14	1	0
40	565	126	1	0
10	323	2	1	0
9	445	223	-1	0
42	154	3	1	0
10	382	3	1	0
12	132	133	1	0
39	742	3	-1	0
9	382	12	1	0
9	338	4	1	0
9	327	118	1	0
9	323	2	2	0
42	117	68	1	0
42	117	78	1	0
42	117	79	1	0
42	117	80	1	0
42	117	94	1	0
9	191	38	1	0
39	497	19	1	0
10	565	147	-1	0
42	54	115	1	0
8	117	61	1	0
9	54	114	2	0
8	140	1	1	0
8	139	191	1	0
8	139	185	-1	0
12	514	11	1	0
8	132	146	1	0
43	338	9	1	0
8	132	145	1	0
8	132	142	-1	0
8	132	134	-1	0
8	132	133	2	0
8	117	92	1	0
8	140	7	1	0
8	117	74	1	0
8	140	16	2	0
8	117	22	-1	0
8	117	9	1	0
8	113	186	1	0
12	565	139	1	0
8	54	118	1	0
8	54	117	1	0
37	140	16	1	0
5	565	146	1	0
44	54	121	1	0
5	560	9	2	0
44	117	35	1	0
5	537	3	9	0
46	117	64	1	0
37	445	119	-1	0
8	445	135	1	0
12	132	138	1	0
12	139	191	1	0
12	140	15	1	0
12	191	38	1	0
39	140	16	1	0
39	140	12	1	0
39	132	142	1	0
39	127	3	1	0
8	445	226	-1	0
42	565	147	1	0
8	445	202	2	0
8	445	201	-1	0
8	140	2	1	0
39	117	85	1	0
5	530	1	10	0
8	445	107	1	0
8	433	102	1	0
43	54	108	1	0
8	386	3	1	0
8	384	6	1	0
8	296	5	-1	0
12	445	197	1	0
8	267	64	1	0
12	445	228	1	0
43	191	38	1	0
8	154	9	1	0
8	154	5	1	0
12	497	11	1	0
8	445	197	1	0
52	117	95	1	0
22	117	60	1	0
3	117	68	1	0
46	132	149	1	0
20	478	6	1	0
4	117	68	1	0
52	445	120	1	0
4	117	45	1	0
46	140	16	1	0
46	296	1	1	0
46	327	113	1	0
4	89	452	1	0
3	154	9	1	0
22	132	137	1	0
3	568	4	1	0
4	117	60	1	0
20	699	100	-1	0
52	117	60	1	0
3	445	226	1	0
21	445	106	1	0
22	330	6	1	0
23	54	108	2	0
21	384	6	1	0
52	132	137	1	0
3	156	101	1	0
22	384	5	1	0
3	117	35	1	0
3	514	14	1	0
20	528	14	1	0
3	289	40	1	0
3	390	101	1	0
23	54	115	1	0
21	117	65	1	0
4	132	142	1	0
52	323	2	1	0
3	338	4	2	0
20	296	3	-1	0
3	127	3	1	0
3	132	138	1	0
5	156	21	1	0
21	514	13	1	0
46	445	201	1	0
3	327	115	1	0
3	338	10	1	0
23	117	60	1	0
3	646	101	3	0
23	117	68	1	0
23	117	35	1	0
21	117	91	1	0
22	510	7	1	0
12	89	663	1	1
12	132	151	2	1
21	289	25	1	1
21	258	4	1	1
12	57	79	2	1
12	57	80	1	1
12	57	81	2	1
12	140	16	1	1
12	289	32	1	1
12	289	31	1	1
12	154	7	1	1
12	140	17	2	1
12	156	106	1	1
12	154	3	1	1
12	289	25	1	1
12	89	545	1	1
21	245	2	1	1
12	245	2	1	1
21	258	2	1	1
21	258	3	1	1
12	117	100	1	1
12	154	9	1	1
12	154	11	1	1
12	154	12	1	1
21	323	1	1	1
21	289	41	1	1
21	289	33	1	1
21	289	35	1	1
12	117	67	1	1
21	289	38	1	1
12	117	87	1	1
21	289	45	1	1
12	117	90	1	1
12	117	80	1	1
21	289	47	1	1
12	117	78	1	1
12	117	74	1	1
12	117	71	1	1
21	289	43	1	1
21	289	42	1	1
12	117	70	1	1
12	117	81	1	1
21	289	49	2	1
12	132	148	1	1
21	289	31	1	1
21	289	32	1	1
12	117	92	1	1
12	117	101	1	1
12	117	99	1	1
12	117	89	1	1
12	117	97	1	1
12	132	149	2	1
12	117	96	1	1
12	117	95	1	1
12	117	93	1	1
12	117	64	1	1
12	289	33	2	1
12	117	91	1	1
21	296	3	1	1
12	395	5	1	1
12	384	1	1	1
12	445	144	2	1
12	445	139	1	1
12	445	137	1	1
12	445	135	1	1
12	445	134	1	1
12	445	131	1	1
12	445	107	1	1
12	445	200	1	1
12	395	6	1	1
12	445	203	1	1
12	395	4	1	1
12	395	3	1	1
12	395	2	1	1
12	386	2	1	1
12	384	6	1	1
12	384	4	1	1
12	384	3	1	1
12	289	46	1	1
21	132	142	1	1
12	445	232	1	1
21	117	92	1	1
21	117	93	1	1
12	497	19	1	1
12	497	18	1	1
12	497	17	1	1
21	117	95	1	1
21	117	96	1	1
21	117	97	1	1
12	445	198	2	1
12	445	233	1	1
12	382	12	1	1
12	445	231	1	1
21	117	99	1	1
12	445	230	1	1
21	117	100	1	1
12	445	227	2	1
12	445	224	1	1
21	117	101	1	1
12	445	208	1	1
12	478	6	1	1
12	54	120	1	1
12	384	2	1	1
