|0.00
1 Tarjeta Electronica|195.00
10A6|10.50
10P80NF10|61.00
10TQ045(MBR745)|39.50
12CTQ045|29.00
1N34|30.00
1N4001|1.00
1N4002|1.00
1N4003|1.00
1N4004|1.00
1N4004-MS|1.50
1N4005|1.00
1N4006|1.00
1N4007|1.00
1N4148|2.50
1N4148-MS|2.00
1N4150|2.00
1N4448|2.50
1N4935|4.00
1N4936|5.00
1N4937|5.00
1N5191|0.00
1N5392|6.00
1N5395|3.00
1N5399|4.50
1N5400|3.50
1N5401|3.50
1N5402|4.00
1N5404|6.00
1N5406|3.50
1N5407|4.50
1N5408|3.50
1N5809|23.00
1N5817|6.00
1N5819|5.50
1N5822|12.50
1N60|5.50
1N6303A|28.00
1N914|1.50
24C01|23.00
24C02|23.00
24C04|21.00
24C256|59.00
24C512|189.00
24LC256|29.00
2716|89.00
2732|77.00
27512|65.00
2764|149.00
27C1024|159.00
27C128|75.00
27C256|129.00
27C512|75.00
28C16|89.00
28C256|115.00
28C64|98.00
2CS3279GR|0.00
2CS5200|95.00
2N1711|59.00
2N2102|99.00
2N2218|39.00
2N2219|45.00
2N2222A|16.50
2N2222A-MS|5.00
2N2646|69.00
2N2647|55.00
2N2904|0.00
2N2905A|39.00
2N2906|38.00
2N2907A|15.00
2N2955|85.00
2N3053|41.50
2N3054|36.00
2N3055|43.00
2N3066|0.00
2N3108|8.00
2N3415|8.00
2N3702|9.50
2N3791|39.00
2N3819|29.00
2N3866A|115.00
2N3903|8.50
2N3904|3.50
2N3904A-MS|4.00
2N3905|7.50
2N3906|4.50
2N4036|69.00
2N4123|3.00
2N4126|7.50
2N4339|53.00
2N4401|9.50
2N4402|12.00
2N4403|9.50
2N4443|22.00
2N4870|69.00
2N4871|159.00
2N4947|49.00
2N5060|8.50
2N5061|19.50
2N5088|29.00
2N5119|16.50
2N5191|19.50
2N5245|29.00
2N5401|3.00
2N5457|19.50
2N5458|39.00
2N5460|29.00
2N5462|44.00
2N5484|39.00
2N5486|28.00
2N5550|8.50
2N6027|11.50
2N6028|39.00
2N6044|21.00
2N6045|29.50
2N6071|10.50
2N6073|13.50
2N6075|16.50
2N6109|22.00
2N6344|14.50
2N6397|39.00
2N6403|24.50
2N6488|13.00
2N6507|39.00
2N6668|15.50
2N7000|10.50
2P4M|21.00
2RCA-3.5MM|24.00
2SA1015|8.50
2SA1300|4.00
2SA970|9.50
2SB22|18.00
2SB405|18.00
2SB415|25.00
2SB647A|3.50
2SB688|26.00
2SB774|4.00
2SC1061|7.00
2SC1213A|8.00
2SC1473|5.00
2SC1573A|7.50
2SC1815GR|5.00
2SC1921|8.00
2SC2238|12.00
2SC2240|9.50
2SC2482Y|3.00
2SC2625|29.00
2SC3279GR|4.00
2SC3281|35.00
2SC3311|21.00
2SC3328|19.00
2SC4544|8.50
2SC5047|109.00
2SC5200|85.00
2SC5343|5.00
2SC535|11.50
2SC5353|19.00
2SC5359-0|35.00
2SC536|2.00
2SC829|8.00
2SD2102|9.00
2SD400E|9.50
2SD6669|1.00
2SD669|16.00
2SD718|29.50
2SD880|22.00
2SJ350|39.00
2SJ449|25.50
2SK2718|39.00
2SK2876|26.00
2SK30A|26.50
2SK373|24.00
2SK4075|22.00
3 Motor CD|199.00
30ENUNO|299.00
30F122|39.00
37D-131-EN|600.00
37D-131:1 EN|0.00
3N187|69.00
3RCA-3.5MM|25.00
4000|26.00
4001|16.50
4002|15.50
4006|19.00
4007|19.00
4008|16.00
4009|11.00
4010|15.50
40106|17.00
4011|15.50
4012|19.50
4013|19.50
4016|15.50
4017|15.50
4018|14.50
40193|15.00
4020|13.50
4021|9.00
4022|7.00
4023|11.00
4024|29.00
4025|11.50
4026|19.50
4027|16.50
4028|12.50
4029|19.50
4030|9.50
4031|6.00
4034|50.00
4035|19.50
4039|40.00
4040|17.50
